subset,n,strategy,exec_acc,ci95_lo,ci95_hi,invalid_sql,old_set_metric
all,1034,zero_shot,0.0,0.0,0.003701528248626765,0.995164410058027,0.0
all,1034,rag_fewshot,0.02611218568665377,0.018006882123855747,0.03772570751217349,0.9352030947775629,0.027079303675048357
all,1034,fine_tuned,0.10058027079303675,0.08370007245890113,0.1204173959486092,0.7321083172147002,0.10058027079303675
unseen by fine_tuned,468,zero_shot,0.0,0.0,0.008141715355322633,1.0,0.0
unseen by fine_tuned,468,rag_fewshot,0.017094017094017096,0.008686587550252525,0.03336481275018728,0.9401709401709402,0.019230769230769232
unseen by fine_tuned,468,fine_tuned,0.09615384615384616,0.07263898372787726,0.12624470944372945,0.7350427350427351,0.09615384615384616
seen by fine_tuned,566,zero_shot,0.0,0.0,0.0067415225564437554,0.991166077738516,0.0
seen by fine_tuned,566,rag_fewshot,0.03356890459363958,0.021593958874078632,0.051832761814618024,0.931095406360424,0.03356890459363958
seen by fine_tuned,566,fine_tuned,0.10424028268551237,0.08167731421499258,0.132139297278447,0.7296819787985865,0.10424028268551237
